@relation emotionAnalysis

@attribute dell numeric
@attribute notebook numeric
@attribute not numeric
@attribute compr numeric
@attribute http numeric
@attribute class {-1,1}

@data
1,1,0,0,0,1
1,1,0,1,0,-1
1,1,0,0,0,-1
1,1,0,1,0,-1
1,1,0,0,0,-1
0,0,0,0,0,1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,1,-1
0,1,0,0,0,-1
0,1,0,1,0,-1
1,1,0,1,0,1
1,0,0,0,0,1
1,1,0,0,1,1
0,0,0,0,0,1
0,0,0,0,0,-1
1,1,0,1,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
0,0,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,0,0,1
1,1,0,0,1,1
1,1,0,1,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,0,0,1
1,1,0,1,0,-1
1,1,0,0,0,-1
1,0,0,0,0,-1
0,1,0,0,0,1
0,0,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,0,0,1
1,1,0,0,0,1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,0,0,1
1,1,0,0,0,-1
1,1,0,0,0,-1
0,0,0,0,0,1
1,1,0,0,0,1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,1,0,-1
1,0,0,0,0,1
1,1,0,1,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
0,0,0,0,0,1
1,1,0,0,0,1
1,1,0,1,0,1
1,1,0,1,0,1
0,0,0,0,0,1
0,1,0,1,0,1
0,1,0,1,0,-1
1,1,0,0,0,1
1,1,0,0,0,-1
1,1,0,1,0,-1
1,1,0,0,0,1
1,1,0,0,0,-1
0,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,1,0,1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,1,1
1,1,0,1,0,-1
0,0,0,0,0,-1
1,1,0,1,0,-1
1,1,0,0,0,-1
1,1,0,1,0,1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,0,0,1
1,1,0,1,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,0,0,-1
1,1,0,1,0,1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,1,0,-1
1,1,0,0,0,-1
1,1,0,0,1,1
1,1,0,1,0,1
1,1,0,0,1,1
1,1,0,0,0,1
1,1,0,0,0,-1
1,1,0,0,0,1
0,1,0,0,0,-1
1,1,0,0,0,-1
1,1,0,0,0,1
1,1,0,1,0,1
1,0,1,0,0,1
0,0,0,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,-1
0,0,1,0,0,-1
0,0,1,0,0,1
1,0,1,0,0,-1
0,0,1,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,0,0,0,1
1,0,1,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
1,0,1,1,0,-1
1,0,1,0,0,-1
0,0,1,0,0,1
1,0,1,0,1,-1
0,0,0,0,0,-1
1,0,1,1,0,1
0,0,1,1,0,-1
1,0,1,0,0,-1
1,0,1,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,0,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,1
0,0,1,0,0,1
1,0,0,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
0,0,1,0,0,-1
1,0,1,0,0,1
0,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
0,0,0,0,0,-1
1,0,0,0,0,-1
0,0,1,0,0,-1
1,0,0,0,0,-1
1,0,1,0,0,-1
0,0,1,0,0,1
1,0,1,0,1,1
1,0,1,0,0,1
1,0,0,0,0,-1
0,0,0,0,0,1
1,0,1,0,0,-1
1,0,0,0,0,-1
1,0,1,1,0,1
1,0,0,0,1,-1
1,0,0,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,1
1,0,1,0,0,-1
0,0,1,0,0,1
0,0,0,0,0,-1
1,0,1,1,0,-1
1,0,0,0,1,-1
0,0,1,0,1,-1
1,0,1,0,0,-1
1,0,1,1,0,-1
1,0,1,0,0,-1
1,0,0,0,0,-1
1,0,1,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,1
1,0,1,1,0,-1
1,0,0,0,1,-1
1,0,0,0,0,-1
0,0,0,0,0,-1
1,0,1,1,0,-1
1,0,0,0,0,1
1,0,0,0,0,-1
1,0,1,0,0,1
1,0,1,0,0,-1
0,0,0,0,0,-1
1,0,1,0,0,1
1,0,0,0,0,-1
1,0,1,1,0,-1
1,0,1,0,0,-1
1,0,0,0,0,1
1,1,1,0,0,-1
0,0,0,0,0,-1
1,0,1,1,0,-1
1,0,1,0,0,1
0,0,0,0,0,-1
1,0,1,1,0,1
0,0,0,0,0,1
1,0,1,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,-1
0,0,0,0,0,1
1,0,1,0,0,-1
1,0,1,1,0,1
1,0,1,0,0,1
0,0,1,0,0,1
0,0,0,0,0,-1
1,0,0,0,0,-1
1,0,1,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,1
1,0,0,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,1
1,1,0,0,0,1
1,0,1,1,0,-1
1,1,1,0,0,1
0,0,0,0,0,1
0,0,1,0,0,1
1,0,1,1,0,1
1,0,1,0,0,-1
1,0,1,1,0,1
1,0,1,0,1,1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
0,0,1,0,0,-1
1,0,1,1,0,1
1,0,1,0,1,1
1,0,1,0,0,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
1,0,1,0,0,-1
0,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,1,1
1,0,1,0,0,1
1,0,1,1,0,-1
1,0,1,0,0,-1
0,0,0,0,0,1
1,1,0,0,0,-1
1,0,1,0,0,1
1,0,1,0,0,1
1,0,1,0,0,-1
0,0,0,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,-1
1,0,1,0,0,1
0,0,1,0,0,-1
0,0,1,0,0,1
0,0,0,0,0,-1
1,0,1,0,0,1
1,0,0,0,0,-1
0,0,0,0,0,1
1,0,1,1,0,-1
1,0,1,0,0,1
1,0,1,0,0,1
1,0,1,0,0,-1
1,0,1,0,0,1
1,0,0,0,0,-1
1,0,1,0,0,1
1,0,1,1,0,1
1,0,1,0,0,1
0,0,1,0,0,-1
1,0,1,1,0,-1
1,1,0,0,0,1
1,0,0,0,1,-1
1,0,0,1,0,-1
1,0,0,0,1,-1
1,0,0,0,1,-1
1,0,0,1,1,-1
1,0,0,0,1,-1
1,1,0,1,1,-1
1,0,0,0,1,-1
1,1,0,0,1,-1
1,0,0,0,0,-1
1,1,0,0,0,-1
1,0,0,0,1,-1
1,0,0,0,1,-1
0,0,0,0,0,-1
1,0,0,0,1,-1
0,0,0,0,1,-1
1,1,0,0,0,-1
1,0,0,0,1,-1
1,0,0,0,1,-1
0,0,1,0,1,-1
1,0,0,0,1,-1
1,0,0,0,1,-1
1,0,0,1,1,-1
1,0,0,0,1,-1
1,0,0,0,1,-1
1,0,0,0,1,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
0,0,0,0,1,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
1,0,0,0,1,-1
1,0,0,1,0,-1
1,0,0,0,1,-1
1,0,0,0,1,-1
0,0,0,0,1,-1
1,0,0,0,1,-1
0,0,0,0,1,-1
1,1,0,0,1,-1
1,0,0,0,1,-1
0,0,0,0,0,-1
1,0,0,0,1,-1
1,0,0,0,1,-1
1,0,0,0,0,-1
1,0,0,0,1,-1
1,0,0,0,0,-1
1,0,0,0,0,-1
1,0,0,0,1,-1
1,0,0,1,0,-1
1,0,0,0,0,1
